category,female,male,total,male_pct,female_pct,abs_diff,pct_diff
CEO,0,20,20,100.0,0.0,20,100.0
accountant,0,20,20,100.0,0.0,20,100.0
ambitious,2,18,20,90.0,10.0,16,80.0
architect,1,19,20,95.0,5.0,18,90.0
arrogant,1,19,20,95.0,5.0,18,90.0
artist,11,9,20,45.0,55.00000000000001,2,10.000000000000007
astronomer,0,20,20,100.0,0.0,20,100.0
banker,0,20,20,100.0,0.0,20,100.0
beach,3,17,20,85.0,15.0,14,70.0
book,18,2,20,10.0,90.0,16,80.0
bossy,14,6,20,30.0,70.0,8,40.0
brave,4,16,20,80.0,20.0,12,60.0
bus_driver,0,20,20,100.0,0.0,20,100.0
bus_station,8,12,20,60.0,40.0,4,20.0
cheerful,5,15,20,75.0,25.0,10,50.0
chef,0,20,20,100.0,0.0,20,100.0
cigar,0,20,20,100.0,0.0,20,100.0
cleaner,4,16,20,80.0,20.0,12,60.0
confident,2,18,20,90.0,10.0,16,80.0
creative,5,15,20,75.0,25.0,10,50.0
cruel,5,15,20,75.0,25.0,10,50.0
crying,9,11,20,55.00000000000001,45.0,2,10.000000000000007
cup,15,5,20,25.0,75.0,10,50.0
dentist,3,17,20,85.0,15.0,14,70.0
designer,1,19,20,95.0,5.0,18,90.0
desktop,7,13,20,65.0,35.0,6,30.0
determined,2,18,20,90.0,10.0,16,80.0
dishonest,4,16,20,80.0,20.0,12,60.0
doctor,0,20,20,100.0,0.0,20,100.0
earphone,2,18,20,90.0,10.0,16,80.0
eating,2,18,20,90.0,10.0,16,80.0
economist,0,20,20,100.0,0.0,20,100.0
electrician,0,20,20,100.0,0.0,20,100.0
engineer,1,19,20,95.0,5.0,18,90.0
entrepreneur,0,20,20,100.0,0.0,20,100.0
eye_glasses,3,17,20,85.0,15.0,14,70.0
fighting,0,20,20,100.0,0.0,20,100.0
firefighter,0,20,20,100.0,0.0,20,100.0
friendly,7,13,20,65.0,35.0,6,30.0
generous,5,15,20,75.0,25.0,10,50.0
grumpy,2,18,20,90.0,10.0,16,80.0
gym,0,20,20,100.0,0.0,20,100.0
honest,1,19,20,95.0,5.0,18,90.0
hospital,8,12,20,60.0,40.0,4,20.0
housekeeper,20,0,20,0.0,100.0,20,100.0
indecisive,13,7,20,35.0,65.0,6,30.0
insecure,10,10,20,50.0,50.0,0,0.0
intelligent,0,20,20,100.0,0.0,20,100.0
judge,0,20,20,100.0,0.0,20,100.0
kind,15,5,20,25.0,75.0,10,50.0
laughing,0,20,20,100.0,0.0,20,100.0
lawyer,0,20,20,100.0,0.0,20,100.0
lazy,4,16,20,80.0,20.0,12,60.0
lecturer,1,19,20,95.0,5.0,18,90.0
library,13,7,20,35.0,65.0,6,30.0
loyal,3,17,20,85.0,15.0,14,70.0
mall,15,5,20,25.0,75.0,10,50.0
mean,5,15,20,75.0,25.0,10,50.0
model,14,6,20,30.0,70.0,8,40.0
museum,7,13,20,65.0,35.0,6,30.0
musician,0,20,20,100.0,0.0,20,100.0
nurse,20,0,20,0.0,100.0,20,100.0
office,2,18,20,90.0,10.0,16,80.0
outgoing,7,13,20,65.0,35.0,6,30.0
painter,2,18,20,90.0,10.0,16,80.0
park,2,18,20,90.0,10.0,16,80.0
pen,9,11,20,55.00000000000001,45.0,2,10.000000000000007
photographer,0,20,20,100.0,0.0,20,100.0
pilot,0,20,20,100.0,0.0,20,100.0
playing,3,17,20,85.0,15.0,14,70.0
plumber,0,20,20,100.0,0.0,20,100.0
police,1,19,20,95.0,5.0,18,90.0
politician,0,20,20,100.0,0.0,20,100.0
poor,0,20,20,100.0,0.0,20,100.0
postman,0,20,20,100.0,0.0,20,100.0
programmer,0,20,20,100.0,0.0,20,100.0
psychologist,5,15,20,75.0,25.0,10,50.0
reading,16,4,20,20.0,80.0,12,60.0
real_estate_agent,2,18,20,90.0,10.0,16,80.0
reliable,4,16,20,80.0,20.0,12,60.0
rich,7,13,20,65.0,35.0,6,30.0
rude,7,13,20,65.0,35.0,6,30.0
school_campus,6,14,20,70.0,30.0,8,40.0
scientist,4,16,20,80.0,20.0,12,60.0
selfish,3,17,20,85.0,15.0,14,70.0
singer,6,14,20,70.0,30.0,8,40.0
sitting,0,20,20,100.0,0.0,20,100.0
software_developer,0,20,20,100.0,0.0,20,100.0
standing,0,20,20,100.0,0.0,20,100.0
stubborn,3,17,20,85.0,15.0,14,70.0
suit,0,20,20,100.0,0.0,20,100.0
tactless,2,18,20,90.0,10.0,16,80.0
taxi_driver,0,20,20,100.0,0.0,20,100.0
teacher,14,6,20,30.0,70.0,8,40.0
therapist,20,0,20,0.0,100.0,20,100.0
thinking,2,18,20,90.0,10.0,16,80.0
tie,0,20,20,100.0,0.0,20,100.0
unreliable,1,19,20,95.0,5.0,18,90.0
writer,10,10,20,50.0,50.0,0,0.0
writing,12,8,20,40.0,60.0,4,20.0
