repeat,split,model,val_R2,val_MSE,val_MAE,inner_best_R2
1,1,SVR,-1.046136574380311,0.08367054473191979,0.23971660612360615,0.40984419851505416
1,2,XGBRegressor,0.0714423656463623,0.2542494833469391,0.40327325463294983,0.37091257572174074
1,3,SVR,0.17472087235470757,0.3364222710781076,0.46012947511342767,0.43875304959753264
1,4,RandomForestRegressor,-0.05510395443089289,0.24053240253294902,0.3220289904475212,0.36598663087505773
1,5,RandomForestRegressor,0.03807782599849452,0.20806050634038242,0.28677121810118356,0.36828021760865165
2,1,ElasticNet,-0.07136976718902588,0.12702476978302002,0.28646188974380493,0.42766172885894777
2,2,CatBoostRegressor,-1.5982985337187219,0.08215728911515222,0.2258266281234428,0.2862136765985687
2,3,RandomForestRegressor,-0.008192480203501162,0.12279868090829091,0.31138044605993975,0.36017986073488284
2,4,ElasticNet,0.49509698152542114,0.2621496319770813,0.44571536779403687,0.31310960054397585
2,5,SVR,0.45373150908217685,0.17532477118302855,0.33181215209453807,0.5050434660763118
3,1,Ridge,0.4888964295387268,0.21146059036254883,0.3697490990161896,0.39896962642669676
3,2,GradientBoostingRegressor,0.19756679921168563,0.14329606972593567,0.2563733011615554,-0.14013739452406235
3,3,SVR,0.5803448069152011,0.25478203417792333,0.36556003293994077,0.3178010979873581
3,4,SVR,0.16065578071077635,0.18765263844079152,0.3204811893266141,0.4620106696056759
3,5,CatBoostRegressor,0.4402332202347923,0.1489214234912287,0.2783082498727376,0.4140841385541772
4,1,GradientBoostingRegressor,0.39993142154584327,0.11868422889831207,0.27796833925565667,0.4096849687177155
4,2,GradientBoostingRegressor,0.28890586254681017,0.28785050519961447,0.41464461232399225,0.48546996325851843
4,3,RandomForestRegressor,0.41264815439536773,0.20254254502031474,0.28135663895093915,0.37619496064857605
4,4,ElasticNet,0.49762070178985596,0.07977373898029327,0.2512556314468384,0.33222475051879885
4,5,ElasticNet,-0.1345069408416748,0.07872320711612701,0.23788054287433624,0.40936999320983886
5,1,ElasticNet,0.20099717378616333,0.14363379776477814,0.2951430380344391,0.4031503915786743
5,2,SVR,0.09834945294942732,0.1384180002049864,0.31825073957313854,0.5316415587877031
5,3,XGBRegressor,-0.6143656969070435,0.2698401212692261,0.40761297941207886,0.48219664096832277
5,4,Ridge,0.6113048791885376,0.15406540036201477,0.3033111095428467,0.4904342532157898
5,5,RandomForestRegressor,0.27459475910564957,0.326349988735182,0.47370528215525853,0.4198515179710084
6,1,RandomForestRegressor,0.5843487052286249,0.14615433471463138,0.2581898200362921,0.3562440645232859
6,2,ElasticNet,0.4665480852127075,0.32527995109558105,0.40323376655578613,0.2965909719467163
6,3,SVR,0.28461269397576283,0.21940014469333374,0.38492341657496826,0.05702795572129686
6,4,GradientBoostingRegressor,-0.13715658179368395,0.1672688027465523,0.26993008959309617,0.48487546971759576
6,5,ElasticNet,0.24918854236602783,0.12856410443782806,0.26889440417289734,0.21713149547576904
7,1,ElasticNet,0.5968843102455139,0.19256603717803955,0.31621861457824707,0.1987215757369995
7,2,GradientBoostingRegressor,0.3968949751058348,0.09826622727961652,0.20860778382652043,0.2971043518651292
7,3,ElasticNet,0.5490427017211914,0.08705799281597137,0.23853370547294617,0.38598060607910156
7,4,SVR,-1.1263034457385928,0.05847767718151555,0.16981994122428268,0.4752692262404337
7,5,LGBMRegressor,0.6492328576007528,0.11478649388023818,0.24096641041967456,0.35091949049833354
8,1,SVR,0.6726659609330232,0.073725503075732,0.22656368243145897,0.5067600569834168
8,2,SVR,0.31544941525443215,0.22045708203148312,0.3652933486488329,0.5010316332852781
8,3,SVR,0.47268115800644916,0.21343746742510028,0.3784598799911769,0.576812734602717
8,4,GradientBoostingRegressor,0.11626183623208708,0.21779849854979244,0.3063748677151775,0.5892430899201361
8,5,SVR,-3.3246069196906953,0.06294518633050666,0.2080317241323603,0.5268958553558079
9,1,XGBRegressor,0.7954826354980469,0.04681253433227539,0.17864176630973816,0.37272508144378663
9,2,SVR,0.5389133366741101,0.21273061765481308,0.36479542467091736,0.3413843175097636
9,3,XGBRegressor,0.4904998540878296,0.1562412530183792,0.2732967734336853,0.1621151089668274
9,4,SVR,0.5412307095321263,0.1139100445154518,0.23947015293595647,0.4176526280350468
9,5,Ridge,0.5108242630958557,0.29272669553756714,0.3760112226009369,0.38134312629699707
10,1,SVR,-1.7028573321789473,0.17488189979177096,0.31753941980706546,0.34255189754852855
10,2,SVR,0.15628736587770253,0.17283364148973157,0.3193916856674606,0.4560771486688003
10,3,ElasticNet,-0.0016880035400390625,0.3252514600753784,0.47406983375549316,0.42849117517471313
10,4,SVR,0.5098634704667808,0.19248992052362407,0.34285063997839893,0.36271402657332236
10,5,SVR,-0.4045384254718003,0.0791812493008163,0.2072862609067702,0.3533988224255619
