,gen,nevals,avg,std,min,max
0,0,30,[0.9740738],[0.04404703],[0.8237738],[1.0487084]
1,1,5,[0.87595713],[0.02719291],[0.8426527],[0.89816]
2,2,5,[0.81229687],[0.01718065],[0.79951155],[0.8426527]
3,3,5,[0.92587584],[0.00106846],[0.9250034],[0.9271844]
4,4,5,[0.8550827],[0.02644544],[0.84186],[0.9079736]
5,5,5,[0.89264953],[0.04048233],[0.8595959],[0.9422301]
6,6,5,[0.9091355],[0.],[0.9091355],[0.9091355]
7,7,5,[0.9368493],[0.00894574],[0.925893],[0.9441534]
8,8,5,[0.9437183],[0.02392302],[0.9242072],[0.9747766]
9,9,5,[0.90750885],[0.01752653],[0.89874554],[0.94256186]
10,10,5,[0.77456135],[0.06209209],[0.7435153],[0.89874554]
11,11,5,[0.72402364],[0.03202695],[0.6978737],[0.76324844]
12,12,5,[0.7459657],[0.06755021],[0.7121906],[0.88106614]
13,13,5,[0.88114166],[0.04072792],[0.8607777],[0.9625975]
14,14,5,[0.8607777],[0.],[0.8607777],[0.8607777]
15,15,5,[0.772801],[0.02969514],[0.748555],[0.80916995]
16,16,5,[0.7973138],[0.05971708],[0.748555],[0.870452]
17,17,5,[0.82085305],[0.06326406],[0.7691981],[0.89833534]
18,18,5,[0.78051883],[0.02264137],[0.7691981],[0.82580155]
19,19,5,[0.7691981],[0.],[0.7691981],[0.7691981]
20,20,5,[0.7691981],[0.],[0.7691981],[0.7691981]
21,21,5,[0.8625008],[0.07618126],[0.7691981],[0.92470247]
22,22,5,[0.8901722],[0.02021241],[0.88006604],[0.93059707]
23,23,5,[0.8839299],[0.00772765],[0.88006604],[0.89938515]
24,24,5,[0.80881196],[0.],[0.80881196],[0.80881196]
25,25,5,[0.80881196],[0.],[0.80881196],[0.80881196]
